author,text
Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
Albert Einstein,“Try not to become a man of success. Rather become a man of value.”
André Gide,“It is better to be hated for what you are than to be loved for what you are not.”
Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”"
Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
Steve Martin,"“A day without sunshine is like, you know, night.”"
Marilyn Monroe,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
J.K. Rowling,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”"
Albert Einstein,"“If you can't explain it to a six year old, you don't understand it yourself.”"
Bob Marley,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
Dr. Seuss,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”"
Douglas Adams,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”"
Elie Wiesel,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”"
Friedrich Nietzsche,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
Allen Saunders,“Life is what happens to us while we are making other plans.”
Pablo Neruda,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
Ralph Waldo Emerson,“For every minute you are angry you lose sixty seconds of happiness.”
Mother Teresa,"“If you judge people, you have no time to love them.”"
Garrison Keillor,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
Jim Henson,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
Dr. Seuss,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”"
Albert Einstein,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”"
J.K. Rowling,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”"
Albert Einstein,“Logic will get you from A to Z; imagination will get you everywhere.”
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”"
Dr. Seuss,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”"
J.K. Rowling,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”"
Bob Marley,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”"
Mother Teresa,“Not all of us can do great things. But we can do small things with great love.”
J.K. Rowling,"“To the well-organized mind, death is but the next great adventure.”"
Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”
William Nicholson,“We read to know we're not alone.”
Albert Einstein,“Any fool can know. The point is to understand.”
Jorge Luis Borges,“I have always imagined that Paradise will be a kind of library.”
George Eliot,“It is never too late to be what you might have been.”
George R.R. Martin,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”"
C.S. Lewis,“You can never get a cup of tea large enough or a book long enough to suit me.”
Marilyn Monroe,“You believe lies so you eventually learn to trust no one but yourself.”
Marilyn Monroe,"“If you can make a woman laugh, you can make her do anything.”"
Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
Marilyn Monroe,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”
Marilyn Monroe,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”"
Martin Luther King Jr.,“Only in the darkness can you see the stars.”
J.K. Rowling,"“It matters not what someone is born, but what they grow to be.”"
James Baldwin,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”"
Jane Austen,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”"
Eleanor Roosevelt,“Do one thing every day that scares you.”
Marilyn Monroe,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”"
Albert Einstein,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”"
Haruki Murakami,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”"
Alexandre Dumas fils,“The difference between genius and stupidity is: genius has its limits.”
Stephenie Meyer,"“He's like a drug for you, Bella.”"
Ernest Hemingway,“There is no friend as loyal as a book.”
Helen Keller,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”"
George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”
Charles Bukowski,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”"
